时间,商品名称,库存变化,单笔销量
2026-09-08 18:28:42,HYUNBIN_DIY,初始库存: 5000,0
2026-09-08 20:42:28,HYUNBIN_DIY,5000 -> 4995,5
2026-09-10 21:11:18,HYUNBIN_DIY,4995 -> 4992,3
2026-09-10 22:20:43,HYUNBIN_DIY,4992 -> 4983,9
2026-09-10 22:33:47,HYUNBIN_DIY,4983 -> 4974,9
2026-09-10 22:39:37,HYUNBIN_DIY,4974 -> 4965,9
2026-09-10 22:51:58,HYUNBIN_DIY,4965 -> 4962,3
2026-09-10 22:52:19,HYUNBIN_DIY,4962 -> 4963,-1
2026-09-10 22:54:43,HYUNBIN_DIY,4963 -> 4961,2
2026-09-10 22:58:31,HYUNBIN_DIY,4961 -> 4950,11
2026-09-10 22:59:56,HYUNBIN_DIY,4950 -> 4947,3
2026-09-10 23:00:18,HYUNBIN_DIY,4947 -> 4940,7
2026-09-10 23:38:50,HYUNBIN_DIY,4940 -> 4946,-6
