时间,商品名称,库存变化,单笔销量
2026-09-08 18:28:41,POW线上团签,初始库存: 4989,11
2026-09-08 22:32:40,POW线上团签,4989 -> 4984,5
2026-09-09 09:17:01,POW线上团签,4984 -> 4979,5
2026-09-09 09:22:02,POW线上团签,4979 -> 4977,2
2026-09-09 13:55:48,POW线上团签,4977 -> 4974,3
2026-09-09 14:35:43,POW线上团签,4974 -> 4967,7
2026-09-09 15:45:56,POW线上团签,4967 -> 4962,5
2026-09-10 00:54:14,POW线上团签,4962 -> 4957,5
2026-09-10 13:07:53,POW线上团签,4957 -> 4951,6
2026-09-10 18:45:31,POW线上团签,4951 -> 4943,8
2026-09-10 20:00:49,POW线上团签,4943 -> 4948,-5
2026-09-10 20:46:17,POW线上团签,4948 -> 4944,4
2026-09-10 21:41:15,POW线上团签,4944 -> 4939,5
2026-09-10 22:33:12,POW线上团签,4939 -> 4937,2
2026-09-10 22:41:53,POW线上团签,4937 -> 4931,6
2026-09-10 22:42:53,POW线上团签,4931 -> 4924,7
2026-09-10 22:44:15,POW线上团签,4924 -> 4921,3
2026-09-10 22:49:26,POW线上团签,4921 -> 4915,6
2026-09-10 22:50:13,POW线上团签,4915 -> 4911,4
2026-09-10 22:51:08,POW线上团签,4911 -> 4910,1
2026-09-10 22:58:51,POW线上团签,4910 -> 4907,3
2026-09-10 22:59:19,POW线上团签,4907 -> 4902,5
2026-09-10 23:00:32,POW线上团签,4902 -> 4893,9
