时间,商品名称,库存变化,单笔销量
2026-09-08 18:28:42,POW线下团签,初始库存: 4969,31
2026-09-08 20:10:03,POW线下团签,4969 -> 4963,6
2026-09-09 13:11:49,POW线下团签,4963 -> 4960,3
2026-09-09 13:33:52,POW线下团签,4960 -> 4959,1
2026-09-09 13:50:05,POW线下团签,4959 -> 4960,-1
2026-09-09 14:16:54,POW线下团签,4960 -> 4950,10
2026-09-09 14:21:40,POW线下团签,4950 -> 4956,-6
2026-09-09 19:17:43,POW线下团签,4956 -> 4948,8
2026-09-09 21:34:01,POW线下团签,4948 -> 4939,9
2026-09-09 22:26:48,POW线下团签,4939 -> 4931,8
2026-09-10 07:55:05,POW线下团签,4931 -> 4925,6
2026-09-10 08:01:16,POW线下团签,4925 -> 4920,5
2026-09-10 10:27:56,POW线下团签,4920 -> 4914,6
2026-09-10 10:40:39,POW线下团签,4914 -> 4904,10
2026-09-10 10:42:02,POW线下团签,4904 -> 4898,6
2026-09-10 11:32:26,POW线下团签,4898 -> 4906,-8
2026-09-10 13:18:01,POW线下团签,4906 -> 4900,6
2026-09-10 17:12:45,POW线下团签,4900 -> 4895,5
2026-09-10 18:33:22,POW线下团签,4895 -> 4889,6
2026-09-10 18:44:49,POW线下团签,4889 -> 4882,7
2026-09-10 20:27:18,POW线下团签,4882 -> 4876,6
2026-09-10 20:35:02,POW线下团签,4876 -> 4866,10
2026-09-10 20:36:03,POW线下团签,4866 -> 4858,8
2026-09-10 21:03:40,POW线下团签,4858 -> 4852,6
2026-09-10 21:46:51,POW线下团签,4852 -> 4847,5
2026-09-10 21:58:27,POW线下团签,4847 -> 4841,6
2026-09-10 22:00:09,POW线下团签,4841 -> 4835,6
2026-09-10 22:00:26,POW线下团签,4835 -> 4829,6
2026-09-10 22:01:45,POW线下团签,4829 -> 4823,6
2026-09-10 22:19:25,POW线下团签,4823 -> 4818,5
2026-09-10 22:26:30,POW线下团签,4818 -> 4812,6
2026-09-10 22:31:32,POW线下团签,4812 -> 4806,6
2026-09-10 22:50:14,POW线下团签,4806 -> 4812,-6
2026-09-10 22:54:03,POW线下团签,4812 -> 4808,4
2026-09-10 22:55:02,POW线下团签,4808 -> 4803,5
2026-09-10 22:56:54,POW线下团签,4803 -> 4786,17
2026-09-10 22:57:29,POW线下团签,4786 -> 4780,6
2026-09-10 22:58:01,POW线下团签,4780 -> 4767,13
2026-09-10 22:59:21,POW线下团签,4767 -> 4750,17
